Latitude,Longitude
"40,07406","-82,42821"
"40,77644577","-82,47435182"
"40,77591","-82,4772799"
"40,7564857","-82,4782063"
"40,773518","-82,48011"
"40,77225113","-82,48225403"
"40,7632","-82,4969"
"40,77032471","-82,49736023"
"40,7611504","-82,5140762"
"40,75766373","-82,51495361"
"40,74406","-82,516174"
"40,75331","-82,52587"
"40,73851","-82,52839"
"40,75587845","-82,53160858"
"40,72820282","-82,53901672"
"40,72264","-82,54163"
"40,7214","-82,5434"
"40,72151","-82,54407"
"40,71887156","-82,5466226"
"40,759057","-82,546712"
"40,75925186","-82,55434737"
"40,7663","-82,55525"
"40,7589493","-82,5579834"
"40,75915","-82,5609"
"40,7589111","-82,5624619"
"40,7589965","-82,56466951"
"33,89076","-84,23249"
"33,8848095","-84,2645174"
"33,89713","-84,28209"
"33,896","-84,2831999"
"33,8981579","-84,2832564"
"33,8943291","-84,2832794"
"33,84931844","-84,28333283"
"33,89351","-84,2843"
"33,89350988","-84,2843001"
"33,89131664","-84,28505862"
"33,88367929","-84,28512923"
"33,89327414","-84,28582732"
"33,8621139","-84,28695363"
"33,88965413","-84,28874462"
"33,86142","-84,29277"
"33,87739182","-84,29347992"
"33,87739","-84,293481"
"33,89067419","-84,29964971"
"33,89063021","-84,29985389"
"33,8908434","-84,3000396"
"33,86762","-84,30192"
"33,89527512","-84,3062973"
"33,86471331","-84,30715889"
"33,8636589","-84,307579"
"33,86366012","-84,30757999"
"33,86366","-84,30758"
"33,86443598","-84,30782094"
"33,86514282","-84,30844116"
"33,86710666","-84,30897642"
"33,869682","-84,309043"
"33,85865486","-84,30917457"
"33,863992","-84,3093051"
"33,8601017","-84,3093702"
"33,88974","-84,30965"
"33,85883277","-84,31034468"
"33,83753523","-84,31140617"
"33,84697","-84,31356"
"33,84157","-84,3142699"
"33,8885099","-84,31489"
"33,84894162","-84,31556123"
"33,84584045","-84,32621002"
"33,844169","-84,327957"
"33,84113312","-84,3300705"
"33,86536","-84,3356"
"33,83559418","-84,33640289"
"33,87072422","-84,33697426"
"33,83318","-84,3401"
"33,85741","-84,34248"
"33,82797","-84,34255"
"33,9118462","-84,3528519"
"33,83057","-84,35684"
"33,8462372","-84,356926"
"33,819664","-84,3602066"
"33,84527272","-84,36105907"
"33,846754","-84,361957"
"33,84632","-84,36266"
"33,8498349","-84,362827"
"33,85039","-84,36314"
"33,82001114","-84,36503601"
"33,85172272","-84,36595917"
"33,895491","-84,366112"
"33,85222197","-84,36623803"
"33,84671783","-84,36708832"
"33,8230689","-84,368568"
"33,8481","-84,36858"
"33,8226367","-84,369016"
"33,84950928","-84,37683061"
"33,8402173","-84,3773922"
"33,83829227","-84,37804196"
"33,85203","-84,3785599"
"33,84183306","-84,37908628"
