Lfd. Nr.,Stadt,Postleitzahl,Fläche km,Bevölkerung gesamt,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung je km2
55,"Paderborn, Stadt",33098,"179,59",148.677,73.899,74.778,"828,00"
56,Regensburg,93047,"80,85",148.638,71.800,76.838,1.838
57,Ingolstadt,85049,"133,35",133.639,67.383,66.256,1.002
58,Würzburg,97070,"87,6",126.010,59.978,66.032,1.438
59,Fürth,90762,"63,35",125.403,61.372,64.031,1.980
60,"Offenbach am Main, Stadt",63065,"44,89",124.589,61.529,63.060,2.775
61,"Ulm, Universitätsstadt",89073,"118,68",123.953,61.244,62.709,1.044
62,"Wolfsburg, Stadt",38440,"204,61",123.909,61.644,62.265,"606,00"
63,"Heilbronn, Stadt",74072,"99,89",123.771,62.188,61.583,1.239
64,"Pforzheim, Stadt",75175,"98,07",123.493,60.582,62.911,1.259
65,"Göttingen, Stadt",37083,"116,93",119.177,57.943,61.234,1.019
66,"Bottrop, Stadt",46236,"100,61",117.409,57.195,60.214,1.167
67,"Reutlingen, Stadt",72764,"87,04",115.006,56.748,58.258,1.321
68,"Recklinghausen, Stadt",45657,"66,5",114.003,55.494,58.509,1.714
69,"Koblenz, Stadt",56068,"105,25",113.605,55.055,58.550,1.079
70,"Bremerhaven, Stadt",27576,"93,66",113.034,56.304,56.730,1.207
71,"Bergisch Gladbach, Stadt",51465,"83,09",111.341,53.499,57.842,1.340
72,"Remscheid, Stadt",42853,"74,52",110.611,54.533,56.078,1.484
73,"Jena, Stadt",7743,"114,76",110.321,54.968,55.353,"961,00"
74,Erlangen,91052,"76,96",110.238,54.603,55.635,1.432
75,"Trier, Stadt",54290,"117,07",110.111,54.231,55.880,"941,00"
76,"Moers, Stadt",47441,"67,68",103.881,50.413,53.468,1.535
77,"Salzgitter, Stadt",38226,"224,49",103.668,51.528,52.140,"462,00"
78,"Siegen, Universitätsstadt",57072,"114,69",101.863,49.735,52.128,"888,00"
79,"Hildesheim, Stadt",31134,"92,29",101.687,48.241,53.446,1.102
80,"Cottbus, Stadt",3046,"165,62",100.416,49.542,50.874,"606,00"
81,"Kaiserslautern, Stadt",67657,"139,7",99.302,50.008,49.294,"711,00"
82,"Gütersloh, Stadt",33330,"112,02",98.466,48.898,49.568,"879,00"
